테이블명,테이블 한글명,GRAIN,테이블유형,컬럼명,컬럼 한글명,타입,NULLABLE,키,FK_타깃,설명,주의_제약(DDL)
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,AD_PERF_DK,광고성과 불변키,VARCHAR,N,PK,,코어 1:1 조인키(staging 발급값 승계),
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,TIME_BAND,시간대,VARCHAR,Y,,,시간대,
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,CM_POSITION,CM위치,VARCHAR,Y,,,CM위치 [VIDEO 전용],
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,RT_TYPE,RT(재방송)유형,VARCHAR,Y,,,RT(재방송)유형 [REBRDC 전용],
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,AD_START_TIME,광고시작시간,VARCHAR,Y,,,광고시작시간 [VIDEO 전용],
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,AD_END_TIME,광고종료시간,VARCHAR,Y,,,광고종료시간 [VIDEO 전용],
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,BROADCAST_DATE,송출일,DATE,Y,,,송출일,
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,PROGRAM_NM,프로그램/편성명,VARCHAR,Y,,,프로그램/편성명,
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,CHANNEL_COMPANY,채널사,VARCHAR,Y,,,채널사,
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,CHANNEL_COMPANY_TYPE,채널사유형,VARCHAR,Y,,,채널사유형 [VIDEO 전용],
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,SPOT_TYPE,SPOT유형,VARCHAR,Y,,,SPOT유형 [VIDEO 전용],
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,DURATION_SEC,광고 초수,"NUMBER(9,0)",Y,,,광고 초수. [사유:규칙 미확정],
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,DAY_DIV,요일구분 평일/주말,VARCHAR,Y,,,요일구분 평일/주말 [VIDEO 전용],
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,PRG_START_TIME,프로그램 시작시간,VARCHAR,Y,,,프로그램 시작시간 [VIDEO 전용],
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,CTV_DIV,CTV구분,VARCHAR,Y,,,CTV구분 [VIDEO 전용],
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,BRDC_DIV,방송구분,VARCHAR,Y,,,방송구분 [REBRDC 전용],
AGENCY_AD_BROADCAST,방송광고 고유속성 위성,AD_PERF_DK (코어 1:1),광고,AD_CNT,광고횟수 (가산),FLOAT,Y,,,광고횟수 (가산),
