# 생성기: scripts/gen_bronze_exposure_audit.py | 러너: scripts/run_bronze_audit_host.py | 감사일: 2026-09-03
# 자동 생성물 — 생성기 scripts/gen_bronze_exposure_audit.py(+러너 scripts/run_bronze_audit_host.py) 재실행으로 갱신. 직접 편집 금지.

원천시스템,BRONZE_테이블,BRONZE_컬럼,데이터타입,판정,신뢰도,비고
AGENCY,DGT_AD_CMPGN_DTLS,TIME,TEXT,판정보류(동명이의),낮음(일반명 충돌),동명 GOLD/SILVER 컬럼이 있으나 계보 무관 가능 — 실측 필요(P14)
AGENCY,DGT_AD_CMPGN_DTLS,YEAR,TEXT,대체노출(파생),높음,DATE 파생(YEAR(AD_DATE)) 로 대체 — 텍스트 파싱 금지 원칙
AGENCY,DGT_AD_CMPGN_DTLS,CPR_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,DGT_AD_CMPGN_DTLS,DMST_OVSEA_DIV_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,DGT_AD_CMPGN_DTLS,BSNS_CASE_DIV_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,DGT_AD_CMPGN_DTLS,CMPGN_TY_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,DGT_AD_CMPGN_DTLS,AD_TY_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `AD_TYPE_NM` (FACT_AD_DIGITAL.sql)
AGENCY,DGT_AD_CMPGN_DTLS,MONTH,TEXT,대체노출(파생),높음,DATE 파생(MONTH(AD_DATE)) 로 대체
AGENCY,DGT_AD_CMPGN_DTLS,DEVICE,TEXT,노출됨(GOLD),중간(브랜치별 상이),개명 적재 → GOLD `DEVICE_SK` (FACT_AD_PERFORMANCE.sql) · ⚠️ 일부 브랜치는 센티넬 — FACT_AD_PERFORMANCE.sql:8 `0 as DEVICE_SK`
AGENCY,DGT_AD_CMPGN_DTLS,MEDIA_NM,TEXT,판정보류(동명이의),낮음(일반명 충돌),동명 GOLD/SILVER 컬럼이 있으나 계보 무관 가능 — 실측 필요(P14)
AGENCY,DGT_AD_CMPGN_DTLS,WEEK,TEXT,대체노출(파생),높음,DATE 파생(WEEKOFYEAR) 로 대체
AGENCY,DGT_AD_CMPGN_DTLS,DAY,TEXT,대체노출(파생),높음,DATE 파생(DAY) 로 대체
AGENCY,DGT_AD_CMPGN_DTLS,DOW,TEXT,대체노출(파생),높음,DATE 파생(DAYNAME) 로 대체
AGENCY,DGT_AD_CMPGN_DTLS,CMPGN_NM,TEXT,판정보류(동명이의),낮음(일반명 충돌),동명 GOLD/SILVER 컬럼이 있으나 계보 무관 가능 — 실측 필요(P14)
AGENCY,DGT_AD_CMPGN_DTLS,MATR,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,DGT_AD_CMPGN_DTLS,MATR_TY_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `CREATIVE_TYPE` (FACT_AD_DIGITAL.sql)
AGENCY,DGT_AD_CMPGN_DTLS,EXPS_CNT,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `IMPRESSIONS` (FACT_AD_PERFORMANCE.sql)
AGENCY,DGT_AD_CMPGN_DTLS,CLICK_CNT,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `CLICKS` (FACT_AD_PERFORMANCE.sql)
AGENCY,DGT_AD_CMPGN_DTLS,GA_AD_COST,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `AD_COST` (FACT_AD_PERFORMANCE.sql)
AGENCY,DGT_AD_CMPGN_DTLS,GA_CONV_MBER_CNT,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `GA_CONV_MEMBERS` (FACT_AD_PERFORMANCE.sql)
AGENCY,DGT_AD_CMPGN_DTLS,CONV_VU_CNT,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `GA_CONV_CNT` (FACT_AD_PERFORMANCE.sql)
AGENCY,DGT_AD_CMPGN_DTLS,CPA,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `CPA_SRC` (FACT_AD_DIGITAL.sql)
AGENCY,DGT_AD_CMPGN_DTLS,DEV_UNIT_PRICE,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `DEV_UNIT_PRICE_SRC` (FACT_AD_DIGITAL.sql)
AGENCY,DGT_AD_CMPGN_DTLS,CTR,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `CTR_SRC` (FACT_AD_DIGITAL.sql)
AGENCY,DGT_AD_CMPGN_DTLS,CVR,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `CVR_SRC` (FACT_AD_DIGITAL.sql)
AGENCY,DGT_AD_CMPGN_DTLS,CPC,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `CPC_SRC` (FACT_AD_DIGITAL.sql)
AGENCY,DGT_AD_CMPGN_DTLS,CPM,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `CPM_SRC` (FACT_AD_DIGITAL.sql)
AGENCY,DGT_AD_CMPGN_DTLS,UPPER_CMPGN_NM,TEXT,SILVER까지만,높음,GOLD 미승격
AGENCY,DGT_AD_CMPGN_DTLS,READ_CNT,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `READ_CNT` (FACT_AD_DIGITAL.sql)
AGENCY,DGT_AD_CMPGN_DTLS,MEDIA_PTNT_CUST_CNT,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `MEDIA_POTENTIAL_CUST_CNT` (FACT_AD_DIGITAL.sql)
AGENCY,DGT_AD_CMPGN_DTLS,DATE,DATE,판정보류(동명이의),낮음(일반명 충돌),동명 GOLD/SILVER 컬럼이 있으나 계보 무관 가능 — 실측 필요(P14)
AGENCY,DGT_AD_CMPGN_DTLS,VTR,FLOAT,노출됨(GOLD),높음,개명 적재 → GOLD `VTR_SRC` (FACT_AD_DIGITAL.sql)
AGENCY,DGT_AD_CMPGN_DTLS,PAGE_TYPE_NM,TEXT,노출됨(GOLD),높음,개명 적재 → GOLD `PAGE_TYPE` (FACT_AD_DIGITAL.sql)
