WIDE_마트,WIDE_컬럼,GOLD_원천(테이블.컬럼),SILVER_원천(테이블.컬럼),BRONZE_원천(테이블),업무_의미(배포 COMMENT),WIDE→GOLD_확정도,계보_확정도,상태,상태_근거(실측)
WIDE_AD_BROADCAST,AD_PERF_DK,FACT_AD_BROADCAST.AD_PERF_DK,AGENCY_AD_BROADCAST.AD_PERF_DK,REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,,직접참조,컬럼확정,OK,"비영 38,486/38,486 (100%)"
WIDE_AD_BROADCAST,AD_SOURCE_TYPE,FACT_AD_PERFORMANCE.AD_SOURCE_TYPE,AGENCY_AD_PERFORMANCE.AD_SOURCE_TYPE,DGT_AD_CMPGN_DTLS;REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,,직접참조,컬럼확정,OK,"비영 243,545/243,545 (100%)"
WIDE_AD_BROADCAST,PERF_DATE_SK,FACT_AD_PERFORMANCE.PERF_DATE_SK,AGENCY_AD_PERFORMANCE.AD_DATE,DGT_AD_CMPGN_DTLS;REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,,직접참조,컬럼확정,OK,"비영 243,545/243,545 (100%)"
WIDE_AD_BROADCAST,AD_COST,FACT_AD_PERFORMANCE.AD_COST,AGENCY_AD_PERFORMANCE.AD_COST,DGT_AD_CMPGN_DTLS;REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,,직접참조,컬럼확정,PARTIAL,"비영 231,012/243,545 (94.9%)"
WIDE_AD_BROADCAST,INBOUND_CALL,FACT_AD_PERFORMANCE.INBOUND_CALL,AGENCY_AD_PERFORMANCE.INBOUND_CALL_CNT,DGT_AD_CMPGN_DTLS;REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,,직접참조,컬럼확정,PARTIAL,"비영 21,455/243,545 (8.8%)"
WIDE_AD_BROADCAST,TIME_BAND,FACT_AD_BROADCAST.TIME_BAND,AGENCY_AD_BROADCAST.TIME_BAND,REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,,직접참조,컬럼확정,PARTIAL,"비영 37,218/38,486 (96.7%)"
WIDE_AD_BROADCAST,CM_POSITION,FACT_AD_BROADCAST.CM_POSITION,AGENCY_AD_BROADCAST.CM_POSITION,REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,,직접참조,컬럼확정,PARTIAL,"비영 32,840/38,486 (85.3%)"
WIDE_AD_BROADCAST,RT_TYPE,FACT_AD_BROADCAST.RT_TYPE,AGENCY_AD_BROADCAST.RT_TYPE,REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,,직접참조,컬럼확정,PARTIAL,"비영 2,070/38,486 (5.4%)"
WIDE_AD_BROADCAST,AD_START_TIME,FACT_AD_BROADCAST.AD_START_TIME,AGENCY_AD_BROADCAST.AD_START_TIME,REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,,직접참조,컬럼확정,PARTIAL,"비영 33,843/38,486 (87.9%)"
WIDE_AD_BROADCAST,AD_END_TIME,FACT_AD_BROADCAST.AD_END_TIME,AGENCY_AD_BROADCAST.AD_END_TIME,REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,,직접참조,컬럼확정,PARTIAL,"비영 15,203/38,486 (39.5%)"
