layer,model,lineno,class,source_name,alias,path
gold,DIM_AD_CREATIVE,29,B_renamed,CREATIVE_DK,AD_CREATIVE_BK,gold/dim/DIM_AD_CREATIVE.sql
gold,DIM_AD_CREATIVE,30,B_renamed,MEDIA_CHANNEL_NM,MEDIA_NAME,gold/dim/DIM_AD_CREATIVE.sql
gold,DIM_AD_CREATIVE,33,B_renamed,CREATIVE_NM,CREATIVE,gold/dim/DIM_AD_CREATIVE.sql
gold,DIM_AD_CREATIVE,34,B_renamed,CM_AREA_NM,CM_POSITION,gold/dim/DIM_AD_CREATIVE.sql
gold,DIM_CAMPAIGN,39,B_renamed,CMPGN_CD,CAMPAIGN_BK,gold/dim/DIM_CAMPAIGN.sql
gold,DIM_CAMPAIGN,40,B_renamed,BRND_NM,BRAND,gold/dim/DIM_CAMPAIGN.sql
gold,DIM_CAMPAIGN,42,B_renamed,CMPGN_NM,CAMPAIGN_NAME,gold/dim/DIM_CAMPAIGN.sql
gold,DIM_CAMPAIGN,43,B_renamed,PR_MTH_CD,PROMO_METHOD,gold/dim/DIM_CAMPAIGN.sql
gold,DIM_CAMPAIGN,49,C_expr,,CAMPAIGN_OPEN_DATE,gold/dim/DIM_CAMPAIGN.sql
gold,DIM_CAMPAIGN,53,A_same,PARENT_CAMPAIGN_NAME,PARENT_CAMPAIGN_NAME,gold/dim/DIM_CAMPAIGN.sql
gold,DIM_CAMPAIGN,54,A_same,PROMO_METHOD_NAME,PROMO_METHOD_NAME,gold/dim/DIM_CAMPAIGN.sql
gold,DIM_CAMPAIGN,59,C_expr,,MKTG_CAMPAIGN_SK,gold/dim/DIM_CAMPAIGN.sql
gold,DIM_CAMPAIGN,62,A_same,SPNSR_DIV_NM,SPNSR_DIV_NM,gold/dim/DIM_CAMPAIGN.sql
gold,DIM_CAMPAIGN,64,A_same,CPR_DIV_NM,CPR_DIV_NM,gold/dim/DIM_CAMPAIGN.sql
gold,DIM_CAMPAIGN,67,A_same,CMMN_BRND_NM,CMMN_BRND_NM,gold/dim/DIM_CAMPAIGN.sql
gold,DIM_CAMPAIGN,69,A_same,MKTG_UTM_NM,MKTG_UTM_NM,gold/dim/DIM_CAMPAIGN.sql
gold,DIM_DATE,12,C_expr,,FULL_DATE,gold/dim/DIM_DATE.sql
gold,DIM_DATE,19,A_same,FULL_DATE,FULL_DATE,gold/dim/DIM_DATE.sql
gold,DIM_DATE,20,C_expr,,YEAR,gold/dim/DIM_DATE.sql
gold,DIM_DATE,21,C_expr,,MONTH,gold/dim/DIM_DATE.sql
gold,DIM_DATE,23,C_expr,,DAY,gold/dim/DIM_DATE.sql
gold,DIM_DATE,24,C_expr,,DAY_OF_WEEK,gold/dim/DIM_DATE.sql
gold,DIM_DATE,25,C_expr,,WEEK_OF_YEAR,gold/dim/DIM_DATE.sql
gold,DIM_DATE,26,C_expr,,QUARTER,gold/dim/DIM_DATE.sql
gold,DIM_DEVICE,27,A_same,DEVICE_TYPE,DEVICE_TYPE,gold/dim/DIM_DEVICE.sql
gold,DIM_DEVICE,32,D_literal,end,DEVICE_SCOPE_DESC,gold/dim/DIM_DEVICE.sql
gold,DIM_EVENT,16,B_renamed,EVENT_KEY,EVENT_BK,gold/dim/DIM_EVENT.sql
gold,DIM_EVENT,17,B_renamed,EVENT_SOURCE,EVENT_KIND,gold/dim/DIM_EVENT.sql
gold,DIM_EVENT,22,C_expr,,EVENT_KIND_NAME,gold/dim/DIM_EVENT.sql
gold,DIM_EVENT,23,B_renamed,EVENT_DIV_CD,EVENT_CATEGORY,gold/dim/DIM_EVENT.sql
gold,DIM_EVENT,24,B_renamed,EVENT_NM,EVENT_NAME,gold/dim/DIM_EVENT.sql
gold,DIM_EVENT,25,C_expr,,EVENT_START_DATE,gold/dim/DIM_EVENT.sql
gold,DIM_EVENT,26,C_expr,,EVENT_END_DATE,gold/dim/DIM_EVENT.sql
gold,DIM_EVENT,34,B_renamed,RCRIT_PSNNL_CO,RECRUIT_HEADCOUNT,gold/dim/DIM_EVENT.sql
gold,DIM_EVENT,38,B_renamed,EVENT_DIV_GROUP,EVENT_CATEGORY_GROUP,gold/dim/DIM_EVENT.sql
gold,DIM_EVENT,39,B_renamed,EVENT_DIV_NM,EVENT_CATEGORY_NAME,gold/dim/DIM_EVENT.sql
gold,DIM_GA_EVENT,16,A_same,EVENT_CATEGORY,EVENT_CATEGORY,gold/dim/DIM_GA_EVENT.sql
gold,DIM_GA_EVENT,17,A_same,EVENT_LABEL,EVENT_LABEL,gold/dim/DIM_GA_EVENT.sql
gold,DIM_GA_EVENT,18,A_same,EVENT_ACTION,EVENT_ACTION,gold/dim/DIM_GA_EVENT.sql
gold,DIM_GA_SOURCE,15,C_expr,,UTM_CONTENT,gold/dim/DIM_GA_SOURCE.sql
gold,DIM_GA_SOURCE,16,C_expr,,UTM_TERM,gold/dim/DIM_GA_SOURCE.sql
gold,DIM_GA_SOURCE,17,C_expr,,SOURCE_MEDIUM,gold/dim/DIM_GA_SOURCE.sql
gold,DIM_GA_SOURCE,24,C_expr,,DEFAULT_CHANNEL_GROUP,gold/dim/DIM_GA_SOURCE.sql
gold,DIM_GA_SOURCE,31,A_same,UTM_SOURCE,UTM_SOURCE,gold/dim/DIM_GA_SOURCE.sql
gold,DIM_GA_SOURCE,32,A_same,UTM_MEDIUM,UTM_MEDIUM,gold/dim/DIM_GA_SOURCE.sql
gold,DIM_GA_SOURCE,33,A_same,UTM_CONTENT,UTM_CONTENT,gold/dim/DIM_GA_SOURCE.sql
gold,DIM_GA_SOURCE,34,A_same,UTM_TERM,UTM_TERM,gold/dim/DIM_GA_SOURCE.sql
gold,DIM_GA_SOURCE,35,A_same,SOURCE_MEDIUM,SOURCE_MEDIUM,gold/dim/DIM_GA_SOURCE.sql
gold,DIM_GA_SOURCE,36,A_same,DEFAULT_CHANNEL_GROUP,DEFAULT_CHANNEL_GROUP,gold/dim/DIM_GA_SOURCE.sql
gold,DIM_MARKETING_CAMPAIGN,42,C_expr,,CNT,gold/dim/DIM_MARKETING_CAMPAIGN.sql
gold,DIM_MARKETING_CAMPAIGN,50,B_renamed,MK_CMPGN_CD,MKTG_CAMPAIGN_BK,gold/dim/DIM_MARKETING_CAMPAIGN.sql
gold,DIM_MARKETING_CAMPAIGN,51,B_renamed,MK_CMPGN_NM,MKTG_CAMPAIGN_NAME,gold/dim/DIM_MARKETING_CAMPAIGN.sql
gold,DIM_MARKETING_CAMPAIGN,52,A_same,USE_YN,USE_YN,gold/dim/DIM_MARKETING_CAMPAIGN.sql
gold,DIM_MARKETING_CAMPAIGN,58,C_expr,,DEV_CAMPAIGN_CNT,gold/dim/DIM_MARKETING_CAMPAIGN.sql
gold,DIM_MEMBER,87,A_same,MBER_NO,MBER_NO,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,88,C_expr,,EFF_FROM,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,89,B_renamed,CHN_STAT_CD,STATUS_CD,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,90,B_renamed,BF_STAT_CD,PREV_STATUS_CD,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,102,C_expr,,EFF_TO,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,103,C_expr,,IS_CUR,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,112,B_renamed,STATUS_CD,MBER_STAT_CD,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,113,B_renamed,PREV_STATUS_CD,PREV_MBER_STAT_CD,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,114,B_renamed,EFF_FROM,EFFECTIVE_FROM,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,115,B_renamed,EFF_TO,EFFECTIVE_TO,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,116,B_renamed,IS_CUR,IS_CURRENT,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,127,A_same,MBER_STAT_CD,MBER_STAT_CD,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,128,C_expr,,PREV_MBER_STAT_CD,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,129,C_expr,,EFFECTIVE_FROM,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,130,C_expr,,EFFECTIVE_TO,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,131,D_literal,TRUE,IS_CURRENT,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,148,A_same,MBER_NO,MBER_NO,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,149,C_expr,,DEV_DT,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,150,A_same,AREA_CD,AREA_CD,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,151,A_same,AGE,AGE,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,165,A_same,MEMBER_SK,MEMBER_SK,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,166,A_same,AREA_CD,AREA_CD,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,167,A_same,AGE,AGE,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,177,A_same,MBER_NO,MBER_NO,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,178,B_renamed,SPNSR_BSNS_ID,FIRST_SPONSORSHIP,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,190,A_same,MBER_NO,MBER_NO,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,191,C_expr,,STOP_DT,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,201,A_same,MEMBER_SK,MEMBER_SK,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,202,B_renamed,STOP_DT,LAST_STOP_DATE,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,237,A_same,MEMBER_SK,MEMBER_SK,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,238,A_same,MEMBER_DK,MEMBER_DK,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,268,A_same,PREV_MBER_STAT_CD,PREV_MBER_STAT_CD,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,269,E_label_join,DTL_CD_NM,PREV_MEMBER_STATUS_NAME,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,270,C_expr,,FIRST_JOIN_DATE,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,271,B_renamed,CMPGN_CD,FIRST_CAMPAIGN,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,272,A_same,JOIN_PATH_CD,JOIN_PATH_CD,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,277,A_same,FIRST_SPONSORSHIP,FIRST_SPONSORSHIP,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,279,A_same,LAST_STOP_DATE,LAST_STOP_DATE,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,280,A_same,EFFECTIVE_FROM,EFFECTIVE_FROM,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,281,A_same,EFFECTIVE_TO,EFFECTIVE_TO,gold/dim/DIM_MEMBER.sql
gold,DIM_MEMBER,282,A_same,IS_CURRENT,IS_CURRENT,gold/dim/DIM_MEMBER.sql
