데이터플랫폼 신규지표,,,,,1차 논의 일자 : 26.05.08,
,,,,,2차 논의 일자 : 26.05.19,
[데이터 반영/이관 기준],,,,*캠페인 오픈 일자(실적 최초 발생 시기)부터 조회시점까지 개월수를 산정 가능,[필수 적용 사항],"*캠페인별 매체/인구학적특성(성별,연령대)/국내 및 해외/사업 및 사례/납입방식/가입일자"
,,,,,*모든 신규지표 내 매칭기준으로 고유ID가 들어가야함,
1) 대행사(광고데이터) : 24년~26년,,,,[기획실 논의 필요사항 ] '10. 최근 2개년 매체별 개발단가' 관련 모금성비용의 기준은 24년부터 26년까지 상이함. ERP 데이터 추출 시 RPA 설계를 공통의 기준으로 적용하는게 한계가 있을 것으로 우려됨(추경/연사업 세세목이 또 상이함) 이에 ERP반영의 기간 범위를 정하고 추후에도 동일한 기준으로 적용할 수 있는 방법비 있는지 예산기획과 논의가 필요할 것으로 보임.  ,(고유ID : 회원번호+캠페인가입일+후원사업+캠페인명),
2) ERP : 24년-26년,,,,,"캠페인명은 (raw)세부캠페인명으로,",
3) CRM,,,,,"캠페인별 개발,활동,회비,서비스 등 캠페인기준으로 분석 시",
 -개발데이터 : 91년 ~ 26년,,,,,회원1명당 중복되는 캠페인으로 통계수치 상이할수있어,
" -활동(미납,중단)데이터 : 24년 ~ 26년",,,,,고유ID끼리 매칭해야함,
 -회비데이터 : 21년 ~ 26년,,,,,,
 -서비스(참여)데이터 : 24년 ~ 26년,,,,,,
구분,순서,신규지표,정의,계산식,비고,
개발,1,최근 5개년 개발캠페인별 납입회비(원),최근 5개년 개발 캠페인별 납입회비  ,캠페인 가입 이후 납입하는 회비,21년부터 가능(21년 이전 불가),EX. 국내사례캠페인의 평균 납입회비는 24년 1월 데이터부터 집계 
개발,2,개발캠페인별 유지기간(N개월),캠페인가입일로부터 조회기준일까지의 개월수,고유ID(회원번호X캠페인가입일X후원사업X캠페인명)를 기준으로 매칭되는 캠페인가입일로부터 조회기준일까지의 총 개월수,전체가능,
개발,3,개발캠페인별 유지기간(Y년),캠페인가입일로부터 조회기준일까지의 년수,고유ID(회원번호X캠페인가입일X후원사업X캠페인명)를 기준으로 매칭되는 캠페인가입일로부터 조회기준일까지의 총 년수,전체가능,
개발,4,개발캠페인별 평균 유지기간(N개월),개발 캠페인별 가입일 및 중단일 기반 캠페인별 유지기간(개월 기준),{(개발캠페인별 유지기간x해당 유지기간 총 회원수)의 합} / 캠페인 가입한 총 회원수,전체가능,
개발,5,개발캠페인별 평균  유지기간(Y년),개발 캠페인별 가입일 및 중단일 기반 캠페인별 유지기간(년 기준),{(개발캠페인별 유지기간x해당 유지기간 총 회원수)의 합} / 캠페인 가입한 총 회원수,전체가능,
개발,6,개발캠페인별 이탈율(%),"개발 캠페인별 개발건 및 이탈건(취소,감액,중단) 기반 이탈율 산출 ",(N개월 시점에 캠페인 가입유지중인 회원수 / N개월까지 가입한 회원수 ),전체가능,*캠페인 가입 시점(개발 실적 발생 시점)부터 산출
개발,7,개발캠페인별 n개월 유지율(%),"개발 캠페인별 가입일, 개발 명수 기반 N개월 유지율 산출 ",(N개월 시점에 캠페인 가입유지중인 회원수 / N개월까지 가입한 회원수 ) X 100,전체가능,
개발,8,개발캠페인별 LTV(원),"개발 캠페인의 평균 회비,평균 활동기간 기반 LTV 산출",평균 납입회비 X 평균 활동 기간,"24년부터 데이터가 존재하나, 24년 이전 평균납입회비 파악 불가로 산출 한계",EX. 굿즈 캠페인의 평균 LTV는 24년 1월 데이터부터 집계 
개발,9,매체별 직접모금비,"26년 직접모금비 기준(모금방송 편성비, 디지털/영상광고 광고비, 콜센터운영비) 모금성비용",-,-,
개발,10,최근 2개년 캠페인별 개발단가 (원),"나눔마케팅본부의 캠페인별 광고비(디지털,방송,영상광고) 대비 개발 건수 기반 개발 단가 산출 ",광고비(편성비) 비용 / 신규 획득 개발 건수,대행사 자료 내 편성비로 ERP 기재된 금액과 차이 발생할 수 있음. ,
개발,11,최근 2개년 매체별 개발단가 (원),나눔마케팅본부의 모금성 비용 대비 개발 건수 기반 개발 단가 산출 ,ERP 매체별 직접모금비 / 매체별 신규 획득 개발 건수,ERP내 관련 세세목 추출 필요,
활동,12,캠페인별 활동율(%),캠페인별 활동회원비중,캠페인별 활동건/(캠페인별 개발누계건+캠페인별 연도초활동건) ,25년부터 가능,
활동,13,연도별 캠페인 활동율(%),연도별 캠페인 활동회원 비중,*조회시점 기준 캠페인 활동건/(캠페인 개발누계건+캠페인 연도초활동건) ,25년부터 가능,
활동,14,캠페인별 납입방식 활동율(%),캠페인별 납입방식 활동회원 비중,캠페인별 납입방식 활동건/(캠페인별 납입방식 개발누계건+캠페인별 납입방식 연도초활동건),25년부터 가능,
중단,15,캠페인별 중단율(%),캠페인별 활동회원 대비 중단회원 비중,캠페인별 중단(건)/(캠페인별 개발(건)+캠페인별 연도초활동회원(건)) ,25년부터 가능,
중단,16,연도별 캠페인 중단율(%),연도별 캠페인 활동회원 대비 중단회원 비중(조회시점 기준),*조회시점 기준 캠페인 중단(건)/(캠페인 개발(건)+캠페인 전월말활동회원(건))  ,24년 2월부터 가능(24년 이전 불가),
중단,17,캠페인별 누계중단율(%),캠페인별 활동 대비 누계중단율,캠페인별 누계중단(건)/(캠페인별 누계개발(건)+캠페인별 연도초활동회원(건))  ,25년부터 가능,
중단,18,연도별 캠페인 신규 중단율(%),연도별 캠페인 활동 대비 누계중단 비중(조회시점 기준),*조회시점 기준 캠페인 누계중단(건)/캠페인별 누계개발(건) ,24년부터 가능(24년 이전 불가),
중단,19,캠페인별 납입방식 중단율(%),캠페인별 납입방식 중단회원 비중,캠페인별 납입방식 중단(건)/(캠페인별 납입방식 개발(건)+캠페인별 연도초활동회원(건))  ,25년부터 가능,
이탈,20,캠페인별 이탈(건),이탈회원의 캠페인 후원취소 및 감액한 건,"후원취소 및 감액한 후원사업의 금액/10,000",전체가능,
이탈,21,캠페인별 이탈율(%),캠페인별 개발 대비 이탈회원 비중,캠페인별 이탈(건)/캠페인별 개발(건),전체가능,
납입,22,캠페인별 납입율(%),캠페인별 활동회원의 납입회비 비중,"캠페인별 활동회원의 월 납입회비/(캠페인별 월말활동회원건*10,000)",24년부터 가능(24년 이전 불가),
납입,23,연도별 캠페인별 납입율(%),연도별 캠페인 활동회원의 납입회비 비중(조회시점 기준),"*조회시점 기준 캠페인별 활동회원의 월 납입회비/(캠페인별 월말활동회원건*10,000)",24년부터 가능(24년 이전 불가),
납입,24,캠페인별 누계 납입율(%),캠페인별 활동회원 누계납입회비 비중,"캠페인별별 활동회원 월 누계납입회비/(캠페인별 월말활동회원건*10,000)",24년부터 가능(24년 이전 불가),
납입,25,연도별 캠페인 누계납입율(%),연도별 캠페인 활동회원 대비 누계납입회비 비중(조회시점 기준),"*조회시점 기준 캠페인별 활동회원 월 누계납입회비/(캠페인별 월말활동회원건*10,000)",24년부터 가능(24년 이전 불가),
납입,26,캠페인별 납입회비 구성비(%),최근 3개년 회비를 납입한 회원의 캠페인별 회비비중,캠페인별별 납입회비/ 총 납입회비 금액*100,24년부터 가능(24년 이전 불가),
미납,27,캠페인별 미납율(%),캠페인별 활동회원 납입회비 비중,"캠페인별 활동회원의 월 미납회비/(캠페인별 월말활동회원건*10,000)",24년부터 가능(24년 이전 불가),
미납,28,연도별 캠페인 미납율(%),연도별 캠페인 활동회원 대비 납입회비 비중(조회시점 기준),"*조회시점 기준 캠페인별 활동회원의 월 미납회비/(캠페인별 월말활동회원건*10,000)",24년부터 가능(24년 이전 불가),
미납,29,캠페인별 미납회비 구성비(%),최근 3개년 회비미납한 회원의 캠페인별 미납회비 비중,캠페인별 미납회비/ 총 미납회비 금액*100,24년부터 가능(24년 이전 불가),
서비스,30,서비스별 발송율(%),전체 회원 대비 서비스별 발송비중(%),서비스별 발송수(명)/전체회원수(명)*100,,
서비스,31,발송대비 수신율(%),서비스 발송대비 발송성공 비중,발송성공수(명)/발송수(명)*100,25년부터 가능,
서비스,32,발송대비 클릭율(%),서비스 발송 대비 클릭비중,클릭수(명)/발송수(명)*100,25년부터 가능,
서비스,33,클릭대비 전환율(%),서비스 클릭 대비 개발비중,개발회원(명)/서비스 클릭수(명)*100,25년부터 가능,
서비스,34,서비스별 증액율(%),서비스 발송성공회원의 증액비중,"(증액 회원수(명,건)/ 서비스별 발송 성공회원(명,건))*100",꼭 필요함. ,
서비스,35,서비스별 증액회원의 N개월 유지율(%),서비스발송 이후 증액회원 기간별 유지비중,"(서비스별 증액 후 N개월 시점 유지 회원(명,건)/서비스별 증액 회원(명,건))*100",꼭 필요함. ,
,,,,서비스별 증액회원의 유지기간=AVG(중단일자-가입일자) or AVG(기준일자-가입일자),,
,,,,서비스 발송회원의 유지기간(미증액회원)= 상동,,
서비스,36,서비스별 참여회원의 N개월 유지율(%),서비스별 참여회원의 기간별 유지비중,"(서비스별 발송 후 N개월 시점 유지 회원(명,건)/서비스별 참여 회원(명,건))*100",*참여서비스(온라인이벤트/문화이벤트/행사 등) 참여회원 기준 ----->,
,,,-발송서비스(이메일/알림톡/문자) 참여회원 기준 : 발송성공회원,서비스별 참여회원의 유지기간=AVG(중단일자-가입일자) or AVG(기준일자-가입일자),,
,,,-참여서비스(온라인이벤트/문화이벤트/행사) 참여회원 기준 : 서비스별 상이 *비고내역참고,,,
서비스,37,서비스별 증액회원의 납입율(%),서비스발송 이후 증액회원의 납입비중,"(서비스별 증액회원 중 납입회원(명,건)/서비스별 증액회원(명,건))*100",꼭 필요함. ,
,,,,서비스별 증액회원 평균 납입회비=SUM(서비스별 증액회원의 납입회비)/서비스별 증액회원(명),,
,,,,서비스별 발송회원의 납입회비 평균(미증액회원)= 상동,,
서비스,38,서비스별 참여회원의 납입율(%),서비스별 참여회원의 납입비중,"(서비스별 참여회원 중 납입회원(명,건)/서비스별 참여회원(명,건))*100",*참여서비스(온라인이벤트/문화이벤트/행사 등) 참여회원 기준 ----->,
,,,-발송서비스(이메일/알림톡/문자) 참여회원 기준 : 발송성공회원,서비스별 참여회원 평균 납입회비=SUM(서비스별 참여회원의 납입회비)/서비스별 참여회원(명),,
,,,-참여서비스(온라인이벤트/문화이벤트/행사) 참여회원 기준 : 서비스별 상이 *비고내역참고,,,
서비스,39,서비스별 증액회원의 중단율(%),서비스발송 이후 증액회원의 중단비중,"(서비스별 증액회원 중 중단회원(명,건)/서비스별 증액회원(명,건))*100",꼭 필요함. ,
,,,,"서비스별 증액회원의 +5일내 중단(명, 건) / 총 발송(명, 건)",,
,,,,"서비스별 발송회원의 +5일내 중단(명, 건)(미증액회원)",,
서비스,40,서비스별 참여회원의 중단율(%),서비스별 참여회원의 중단비중,"(서비스별 참여회원 중 중단회원(명,건)/서비스별 참여회원(명,건))*100",*참여서비스(온라인이벤트/문화이벤트/행사 등) 참여회원 기준 ----->,
,,,-발송서비스(이메일/알림톡/문자) 참여회원 기준 : 발송성공회원,"서비스별 참여회원의 +5일내 중단(명, 건) / 총 발송(명, 건)",,
,,,-참여서비스(온라인이벤트/문화이벤트/행사) 참여회원 기준 : 서비스별 상이 *비고내역참고,"서비스별 참여회원의 +5일내 중단(명, 건)(미증액회원)",,
서비스,41,서비스별 증액회원의 가입캠페인별 구성비(%),서비스별 증액회원의 캠페인구성비,"(해당 캠페인 서비스별 증액회원(명,건)/서비스별 전체 증액회원(명,건))*100",꼭 필요함. ,
서비스,42,서비스별 참여회원의 가입캠페인별 구성비(%),서비스별 참여회원의 캠페인구성비,"(해당 캠페인 서비스별 참여회원(명,건)/서비스별 참여회원(명,건))*100",*참여서비스(온라인이벤트/문화이벤트/행사 등) 참여회원 기준 ----->,
,,,-발송서비스(이메일/알림톡/문자) 참여회원 기준 : 발송성공회원,,,
,,,-참여서비스(온라인이벤트/문화이벤트/행사) 참여회원 기준 : 서비스별 상이 *비고내역참고,,,
서비스,43,서비스x가입캠페인별 N개월 유지율(%),서비스별 캠페인 가입회원의 기간별 유지비중,"(해당 서비스·캠페인 조합에서 N개월 시점 유지 회원(명,건)/해당 캠페인 가입회원(명,건))*100",꼭 필요함. ,
서비스,44,서비스별 서신 참여율(%),서비스별 서신참여 회원 비중,"(서비스별 서신 참여회원(명,건)/해당 서비스 참여회원(명,건))*100",꼭 필요함. ,
서비스,45,서비스별 서신참여회원의 N개월 유지율,서비스별 서신참여회원의 N개월 유지비중,"(서신참여 후 N개월 시점 유지 회원(명,건)/서비스별 서신참여 회원(명,건))*100",꼭 필요함. ,
,,,,서비스별 서신참여회원의 유지기간=AVG(중단일자-가입일자) or AVG(기준일자-가입일자),,
,,,,서비스 발송회원의 유지기간(서신미참여회원)= 상동,,
서비스,46,서비스별 서신참여회원의 납입율,서비스별 서신참여회원의 납입비중,"(서비스별 서신참여회원 중 납입회원(명,건)/서비스별 서신참여 회원(명,건))*100",꼭 필요함. ,
,,,,서비스별 서신참여회원 평균 납입회비=SUM(서비스별 서신참여회원의 납입회비)/서비스별 서신참여회원(명),,
,,,,서비스별 발송회원의 평균 납입회비(서신미참여회원)= 상동,,
서비스,47,서비스별 서신참여회원의 중단율,서비스별 서신참여회원의 중단비중,"(서비스별 서신참여회원 중 중단회원(명,건)/서비스별 서신참여 회원(명,건))*100",꼭 필요함. ,
,,,,"서비스별 서신참여회원의 +5일내 중단(명, 건) / 총 발송(명, 건)",,
,,,,"서비스별 발송회원의 +5일내 중단(명, 건)(서신미참여회원)",,
서비스,48,서비스별 서신참여회원의 가입캠페인별 구성비(%),서비스별 서신참여회원의 캠페인구성비,"(해당 캠페인 서비스별 서신참여회원(명,건)/서비스별 전체 서신참여회원(명,건))*100",꼭 필요함. ,
서비스,49,서비스별 선물금 참여율(%),서비스별 선물금참여 회원 비중,"(서비스별 선물금 참여회원(명,건)/해당 서비스 참여회원(명,건))*100",꼭 필요함. ,
서비스,50,서비스별 선물금참여회원의 N개월 유지율(%),서비스별 선물금참여회원의 N개월 유지비중,"(서비스별 선물금참여 후 N개월 시점 유지 회원(명,건)/서비스별 선물금참여 회원(명,건))*100",꼭 필요함. ,
,,,,서비스별 선물금참여회원의 유지기간=AVG(중단일자-가입일자) or AVG(기준일자-가입일자),,
,,,,서비스별 발송회원의 유지기간(선물금미참여회원)= 상동,,
서비스,51,서비스별 선물금참여회원의 납입율(%),서비스별 선물금참여회원의 납입비중,"(서비스별 선물금참여회원 중 납입회원(명,건)/서비스별 선물금참여 회원(명,건))*100",꼭 필요함. ,
