부서명,부서코드,부서 경로
사단법인 굿네이버스 인터내셔날,A000001,
사무총장,B000003,사무총장
본부,B000004,본부
경영기획실,C000001,본부 > 경영기획실
전략기획팀,E001132,본부 > 경영기획실 > 전략기획팀
예산기획팀,E001175,본부 > 경영기획실 > 예산기획팀
예산기획팀,E001187,본부 > 경영기획실 > 예산기획팀
디지털경영실,C000002,본부 > 디지털경영실
디지털운영팀,D000003,본부 > 디지털경영실 > 디지털운영팀
IT협력사,D000999,본부 > 디지털경영실 > IT협력사
감사실(사단),C000005,본부 > 감사실(사단)
회원실,C000006,본부 > 회원실
회원관리팀,D000011,본부 > 회원실 > 회원관리팀
회원상담센터,D000014,본부 > 회원실 > 회원관리팀 > 회원상담센터
회원서비스기획팀,D000012,본부 > 회원실 > 회원서비스기획팀
회원참여팀,E001147,본부 > 회원실 > 회원참여팀
나눔마케팅본부,C000010,본부 > 나눔마케팅본부
마케팅기획2팀,D000023,본부 > 나눔마케팅본부 > 마케팅기획2팀
매체운영팀,D000111,본부 > 나눔마케팅본부 > 매체운영팀
애자일프로젝트팀,E001151,본부 > 나눔마케팅본부 > 애자일프로젝트팀
데이터분석센터,E001159,본부 > 나눔마케팅본부 > 데이터분석센터
컬쳐콘텐츠팀,E001176,본부 > 나눔마케팅본부 > 컬쳐콘텐츠팀
컬쳐콘텐츠팀,E001188,본부 > 나눔마케팅본부 > 컬쳐콘텐츠팀
마케팅기획1팀,F001050,본부 > 나눔마케팅본부 > 마케팅기획1팀
국제협력실,C000031,본부 > 국제협력실
지역개발팀,D000166,본부 > 국제협력실 > 지역개발팀
교육보건팀,E001014,본부 > 국제협력실 > 교육보건팀
인도적지원팀,E001152,본부 > 국제협력실 > 인도적지원팀
ESG사회공헌협력실,C001023,본부 > ESG사회공헌협력실
특별후원팀,E001022,본부 > ESG사회공헌협력실 > 특별후원팀
물품후원팀,E001112,본부 > ESG사회공헌협력실 > 물품후원팀
사회공헌협력팀,F001071,본부 > ESG사회공헌협력실 > 사회공헌협력팀
울산교육센터 준비위원회,D000154,본부 > 울산교육센터 준비위원회
국내사업본부,D001000,본부 > 국내사업본부
사회개발교육팀,E001083,본부 > 국내사업본부 > 사회개발교육팀
캠페인사업부,E001140,본부 > 국내사업본부 > 캠페인사업부
캠페인기획1팀,E000121,본부 > 국내사업본부 > 캠페인사업부 > 캠페인기획1팀
캠페인기획2팀,E000125,본부 > 국내사업본부 > 캠페인사업부 > 캠페인기획2팀
미래전략사업부,E001142,본부 > 국내사업본부 > 미래전략사업부
미래전략사업팀,F001049,본부 > 국내사업본부 > 미래전략사업부 > 미래전략사업팀
국내사업부,E001174,본부 > 국내사업본부 > 국내사업부
국내사업팀,E000095,본부 > 국내사업본부 > 국내사업부 > 국내사업팀
세계시민교육팀,E001136,본부 > 국내사업본부 > 국내사업부 > 세계시민교육팀
세계시민교육센터,E001192,본부 > 국내사업본부 > 세계시민교육센터
애자일프로젝트TFT,E001196,본부 > 국내사업본부 > 애자일프로젝트TFT
경영지원실,D001004,본부 > 경영지원실
총무팀,D000004,본부 > 경영지원실 > 총무팀
회계팀,D000005,본부 > 경영지원실 > 회계팀
인재개발팀,D000006,본부 > 경영지원실 > 인재개발팀
관리사무소,E001012,본부 > 경영지원실 > 관리사무소
미래정책실,D001044,본부 > 미래정책실
디지털혁신위원회,D001050,본부 > 디지털혁신위원회
디지털혁신실무위원회,E001149,본부 > 디지털혁신위원회 > 디지털혁신실무위원회
브랜드전략실,D001065,본부 > 브랜드전략실
커뮤니케이션팀,E001177,본부 > 브랜드전략실 > 커뮤니케이션팀
브랜드팀,E001178,본부 > 브랜드전략실 > 브랜드팀
브랜드홍보실,D001067,본부 > 브랜드홍보실
웹서비스팀,D000112,본부 > 브랜드홍보실 > 웹서비스팀
브랜드홍보팀,E001189,본부 > 브랜드홍보실 > 브랜드홍보팀
콘텐츠기획팀,E001190,본부 > 브랜드홍보실 > 콘텐츠기획팀
국내,B000005,국내
서울인천,C000012,국내 > 서울인천
서울인천권역본부,D000116,국내 > 서울인천 > 서울인천권역본부
인천사업본부,D000117,국내 > 서울인천 > 인천사업본부
서울남부사업본부,D000139,국내 > 서울인천 > 서울남부사업본부
서울북부사업본부,E000002,국내 > 서울인천 > 서울북부사업본부
경기강원,C000014,국내 > 경기강원
경기강원권역본부,D000118,국내 > 경기강원 > 경기강원권역본부
경기2사업본부,D000119,국내 > 경기강원 > 경기2사업본부
강원지부,D000120,국내 > 경기강원 > 강원지부
경기남부사업본부,E000029,국내 > 경기강원 > 경기남부사업본부
경기동부사업본부,E001104,국내 > 경기강원 > 경기동부사업본부
영남,C000022,국내 > 영남
영남권역본부,D000126,국내 > 영남 > 영남권역본부
대구사업본부,E000067,국내 > 영남 > 대구사업본부
울산지부,E000117,국내 > 영남 > 울산지부
경북사업본부,E001105,국내 > 영남 > 경북사업본부
경남사업본부,F001009,국내 > 영남 > 경남사업본부
호남,C000032,국내 > 호남
호남권역본부,D000123,국내 > 호남 > 호남권역본부
전북지부,D000140,국내 > 호남 > 전북지부
