데이터플랫폼 공통지표,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
구분,순서,지표명,정의,계산식,데이터 출처,합의 필요사항,,,,
개발,1,월 목표대비 개발(%),월 목표 달성율,월 개발건/월 회원개발목표,매체별 목표 : 신규 테이블 마련 필요,,,,,
,,,,,개발(건) : crm,,,,,
개발,2,누계 목표대비 개발(%),누계 목표 달성율,누계 개발건/누계 회원개발목표,매체별 목표 : 신규 테이블 마련 필요,,,,,
,,,,,개발(건) : crm,,,,,
개발,3,연 목표대비 개발(%),연 목표 달성율,연 개발건/연 회원개발목표,매체별 목표 : 신규 테이블 마련 필요,,,,,
,,,,,개발(건) : crm,,,,,
개발,4,CRM 개발(건),조회일시 기준 CRM 회원개발실적,"회원번호 기준, 회원의 CRM 개발 건( =전체 후원금액/10,000)",CRM,,,,,
개발,5,GA 개발(건),조회일시 기준 GA 회원개발실적,"GA 개발 건( =전체 후원금액/10,000)",디지털 대행사 일별레포트,,,,,
개발,6,GA 광고비,조회일시 기준 GA 광고비,"GA 광고비( =전체 후원금액/10,000)",디지털 대행사 일별레포트,,,,,
개발,7,CRM 개발단가,투입 광고비 대비 CRM 개발(건),광고비 / CRM 개발 건,"투입예산 : 대행사(디지털,영상광고,재송출_쉐어포인트)",,,,,
,,,,,개발건 : CRM,,,,,
개발,8,GA 개발단가,투입 GA광고비 대비 GA개발(건),GA 광고비 / GA 개발 건,투입예산 : 대행사(디지털),,,,,
,,,,,개발건 : 대행사(디지털),,,,,
개발,9,GA CTR,노출수 대비 클릭률(%),(광고 클릭수 / 광고 노출수) * 100,대행사(디지털),,,,,
개발,10,GA CVR,클릭수 대비 전환율(%),(광고 전환수 / 광고 클릭수) * 100 ,대행사(디지털),,,,,
개발,11,매체명(=개발인입경로),"디지털,재송출,방송,영상광고 등 15개",,(공통)브랜드 및 상위캠페인_26.02활동기준.xlsx,,,,,
개발,12,플랫폼,광고 송출 수단,"YOUTUBE, KBS, 당근 등 광고를 송출하는 플랫폼","대행사(디지털,영상광고,재송출_쉐어포인트)",,,,,
개발,13,플랫폼 유형,"DA,SA,BSA,CPT,지상파 등 플랫폼 유형으로 분류",,"대행사(디지털,영상광고,재송출_쉐어포인트)",,,,,
개발,14,기기,"디지털 매체에 한하며 PC, M 두개 유형으로 분류",,"대행사(디지털,영상광고,재송출_쉐어포인트)",,,,,
개발,17,캠페인 유형,캠페인 소재 기준 6개 유형으로  분류,1) 국내 사례 2) 국내 사업 3) 해외 사례 4) 해외 굿즈 5) 전체 굿즈 6) 통합 통합,대행사(디지털) ,,,,,
개발,18,캠페인명,캠페인명,,CRM,,,,,
개발,19,캠페인 오픈일자,CRM 내 상위캠페인의 실적이 발생한 최초 일자,,CRM,,,,,
개발,20,소재,디지털 매체에 한하며 광고 배너 구분 값,,대행사(디지털),,,,,
개발,21,CM위치,영상광고 매체에 한하며 광고 삽입 위치,,대행사(영상광고),,,,,
개발,22,초수,영상광고 매체에 한하며 광고 구성 시간,,대행사(영상광고),,,,,
개발,23,노출수,"디지털매체, 영상광고(YTTV)에 한하며 노출된 횟수",,"대행사(디지털, 영상광고)",,,,,
개발,24,클릭수,"디지털매체, 영상광고(YTTV)에 한하며 클릭된 횟수",,"대행사(디지털, 영상광고)",,,,,
개발,25,인입콜,"미디어(방송,영상광고) 컨텐츠 ",,"대행사(영상광고,재송출)",,,,,
개발,26,가입캠페인 중단일,가입캠페인 중단일자,,CRM,,,,,
개발,27,캠페인 가입일,가입캠페인 가입일자,,CRM,,,,,
개발,28,최초가입일(회원번호 생성일),회원의 최초가입일자,,CRM,,,,,
개발,29,최초캠페인,회원이 최초가입한 캠페인,회원이 최초가입 시 가입캠페인 ,CRM,,,,,
중단,30,최종중단일,회원의 가장 마지막 중단일자,회원이 최종중단일자,,,,,,
중단,31,최종캠페인,회원이 최종중단 시 캠페인,회원이 최종중단 시 최종캠페인,,,,,,
개발,32,신규,조회년월 기준 당해년도 개발,,CRM,,,,,
개발,33,증액,조회년월 기준 최초개발 이후 추가개발,,CRM,,,,,
개발,34,재후원,조회년월 기준 중단이후 재개발,,CRM,,,,,
중단,35,중단(건),조회일시 기준 중단 건 ,"회원번호 기준, 후원중단한 회원의 총 개발 건( =전체 후원금액/10,000)",,,,,,
미납,36,미납(건),조회일시 기준 미납 건 ,"회원번호 기준, 회원상태가 미납인 회원의 총 개발 건( =전체 후원금액/10,000)",,,,,,
활동,37,활동(건),조회일시 기준 활동 건 ,"회원번호 기준, 회원상태가 활동인 회원의 총 개발 건( =전체 후원금액/10,000)",,,,,,
개발,38,감액(건),조회일시 기준 감액 건,"회원번호 기준, 후원사업(세부캠페인)별 총 감액 건(=전체 감액금액/10,000)",CRM,,,,,
개발,39,개발회원,"조회년월 기준 가입한 회원(신규,재후원,증액)",,CRM,,,,,
활동,40,활동회원,"조회년월 기준 회원상태가 활동,미납인 회원",,,,,,,
중단,41,중단회원,조회년월 기준 회원상태가 중단인 회원,,,,,,,
미납,42,미납회원,"조회년월 기준 회원상태가 미납1,미납2,미납3,미납4,미납5 인 회원",,,,,,,
공통,43,신규회원,조회년월 기준 당해년도 개발된 회원,,,,,,,
공통,44,기존회원,조회년월 기준 당해년도 이전에 개발된 회원,,,,,,,
활동,45,활동율(%),전체회원 활동율,월말활동회원건/총 개발회원건(연도초활동회원건+누계개발건),,,,,,
활동,46,신규 활동율(%),신규개발 회원의 활동율,누계개발 건/활동건,,,,,,
활동,47,기존 활동율(%),기존개발 회원의 활동율,활동 건/(누계개발 건+연도초활동 건) ,,,,,,
활동,48,연도초 활동회원,직전 년도말(12월) 활동회원,,,,,,,
활동,49,연도초 활동회원(건),"조회년도 기준, 직전년도말(12월) 활동회원 건",전년도 연도말 활동회원 건수,,,,,,
활동,50,연도말 활동회원(건),"조회년도 기준, 당해년도(12월) 활동회원 건",,,,,,,
