지표구분,지표명,구성정보,데이터타입,비고
공통지표,1명당 건수,1명당 건수,숫자,
공통지표,CM위치,CM위치,문자,
공통지표,CRM 개발(건),CRM 개발 건수,숫자,
공통지표,CRM 개발단가,CRM 개발 단가,숫자,
공통지표,event_action,event_action,문자,
공통지표,event_category,event_category,문자,
공통지표,event_label,event_label,문자,
공통지표,GA CTR,GA CTR,숫자,
공통지표,GA CVR,GA CVR,숫자,
공통지표,GA 개발(건),GA 개발 건수,숫자,
공통지표,GA 개발단가,GA 개발 단가,숫자,
공통지표,GA 광고비,GA 광고비,숫자,
공통지표,member id,회원번호,문자,
공통지표,memnum,회원번호,문자,
공통지표,가입캠페인 중단일,가입 캠페인 중단 일,일,
공통지표,개발(건),개발 건수,숫자,
공통지표,개발(명),개발 명수,숫자,
공통지표,개발구분,개발 구분 명,문자,
공통지표,개발회원(건),개발 회원 후원 건수,숫자,* 공통지표 상 '개발회원'
공통지표,개발회원(명),개발 회원 수,숫자,* 공통지표 상 '개발회원'
공통지표,결연아동코드,결연 아동 코드,문자,
공통지표,공통브랜드,공통 브랜드 명,문자,
공통지표,공통상위캠페인,공통 상위 캠페인 명,문자,
공통지표,공통캠페인,공통 캠페인 명,문자,
공통지표,국내/해외 구분,국내 해외 구분 명,문자,
공통지표,기기,기기,문자,
공통지표,기존 미납율(%),기존 미납 율,숫자,
공통지표,기존 중단율,기존 중단 율,숫자,
공통지표,기존 활동율(%),기존 활동 율,숫자,
공통지표,기존회원(건),기존 회원 후원 건수,숫자,* 공통지표 상 '기존회원'
공통지표,기존회원(명),기존 회원 수,숫자,* 공통지표 상 '기존회원'
공통지표,납부율(%),납부 율,숫자,
공통지표,납입개월수,납입 개월수,숫자,
공통지표,납입방식,납입방식 코드,문자,
공통지표,납입율(%),납입 율,숫자,
공통지표,납입회비,납입회비,숫자,
공통지표,노출수,노출 수,숫자,
공통지표,누계 목표대비 개발(%),누계 목표 대비 개발 율,숫자,
공통지표,누계납부율(%),누계 납부 율,숫자,
공통지표,누계납입율(%),누계 납입 율,숫자,
공통지표,매체명(=공동브랜드),매체 명,문자,
공통지표,미납(건),미납 건수,숫자,
공통지표,미납사유,미납 사유,문자,
공통지표,미납서비스 전환율(%),미납 서비스 전환 율,숫자,
공통지표,미납율(%),미납 율,숫자,
공통지표,미납회원(건),미납 회원 후원 건수,숫자,* 공통지표 상 '미납회원'
공통지표,미납회원(명),미납 회원 수,숫자,* 공통지표 상 '미납회원'
공통지표,미납회원 감소율(%),미납 회원 감소 율,숫자,
공통지표,발송(+5일차) 서신참여(건),발송 5일차 서신 참여 건수,숫자,
공통지표,발송(+5일차) 서신참여(명),발송 5일차 서신 참여 명수,숫자,
공통지표,발송(+5일차) 선물금참여(건),발송 5일차 선물금 참여 건수,숫자,
공통지표,발송(+5일차) 선물금참여(명),발송 5일차 선물금 참여 명수,숫자,
공통지표,발송(+5일차) 중단(건),발송 5일차 중단 건수,숫자,
공통지표,발송(+5일차) 중단(명),발송 5일차 중단 명수,숫자,
공통지표,발송(+5일차) 증액참여(건),발송 5일차 증액 참여 건수,숫자,
공통지표,발송(+5일차) 증액참여(명),발송 5일차 증액 참여 명수,숫자,
공통지표,발송구분(대),발송 구분 (대),문자,
공통지표,발송구분(소),발송 구분 (소),문자,
공통지표,발송구분(중),발송 구분 (중),문자,
공통지표,발송상태,발송 상태 명,문자,
공통지표,발송수(명),발송 명수,숫자,
공통지표,발송일,발송 일,일,
공통지표,방문수(명),방문 명수,숫자,
공통지표,법인,법인 명,문자,
공통지표,본부/지부,본부 명 지부 명,문자,
공통지표,부서,부서 명,문자,
공통지표,사업/사례 구분,사업 사례 구분 명,문자,
공통지표,서비스(건),서비스 건수,숫자,
공통지표,서비스(명),서비스 명수,숫자,
공통지표,서신참여(건),서신 참여 건수,숫자,
공통지표,서신참여(명),서신 참여 명수,숫자,
공통지표,선물금참여(명),선물금 참여 명수,숫자,
공통지표,선물금참여(원),선물금 참여 금액,숫자,
공통지표,성공수(명),성공 명수,숫자,
공통지표,성별,성별,문자,
공통지표,세션 소스/매체,세션 소스 매체,문자,
공통지표,세션 수동 검색어,세션 수동 검색어,문자,
공통지표,세션 수동 광고 콘텐츠,세션 수동 광고 콘텐츠,문자,
공통지표,세션수(명),세션 명수,숫자,
공통지표,세션캠페인,세션 캠페인,문자,
공통지표,소재,소재,문자,
공통지표,스크롤깊이,스크롤 깊이,문자,
공통지표,신규,신규,문자,
공통지표,신규 미납율(%),신규 미납 율,숫자,
공통지표,신규 중단율,신규 중단 율,숫자,
공통지표,신규 활동율(%),신규 활동 율,숫자,
공통지표,신규기존구분,신규 기존 구분,문자,
공통지표,신규회원(건),신규 회원 후원 건수,숫자,* 공통지표 상 '신규회원'
공통지표,신규회원(명),신규 회원 수,숫자,* 공통지표 상 '신규회원'
공통지표,실패수(명),실패 명수,숫자,
공통지표,연 목표대비 개발(%),연 목표 대비 개발 율,숫자,
공통지표,연도말 활동회원(건),연도말 활동 회원 건수,숫자,
공통지표,연도초 활동회원(명),연도초 활동 회원 수,숫자,* 공통지표 상 '연도초 활동회원'
공통지표,연도초 활동회원(건),연도초 활동 회원 건수,숫자,
공통지표,연사업누계목표(건),연 사업 누계 목표 건수,숫자,
공통지표,연사업목표(건),연 사업 목표 건수,숫자,
공통지표,월 목표대비 개발(%),월 목표 대비 개발 율,숫자,
공통지표,월말활동회원(건),연도말 활동 회원 후원 건수,숫자,* 공통지표 상 '월말횔동회원'
공통지표,월말활동회원(명),연도말 활동 회원 수,숫자,* 공통지표 상 '월말횔동회원'
공통지표,월말활동회원(건),월말 활동 회원 건수,숫자,
공통지표,이벤트수(명),이벤트 명수,숫자,
공통지표,이탈율,이탈 율,숫자,
공통지표,인입콜,인입 콜 수,숫자,
공통지표,일시회원 일시회비,일시 회원 일시회비,숫자,
공통지표,재후원,재후원,문자,
공통지표,전월말 활동회원(건),전월말 활동 회원 건수,숫자,
공통지표,정기회비,정기 회비,숫자,
공통지표,정기회원 일시회비,정기 회원 일시회비,숫자,
공통지표,제목(발송),발송 제목,문자,
공통지표,조회수(명),조회 명수,숫자,
공통지표,주간 평균 1일 중단(건),주간 1일당 평균 중단 건수,숫자,
공통지표,중단(건),중단 건수,숫자,
공통지표,중단사유,중단 사유,문자,
공통지표,중단율1(%),중단 율1,숫자,
공통지표,중단율2(%),중단 율2,숫자,
공통지표,중단회원(건),중단 회원 후원 건수,숫자,* 공통지표 상 '중단회원'
공통지표,중단회원(명),중단 회원 수,숫자,* 공통지표 상 '중단회원'
공통지표,증감(건),증감 건수,숫자,
공통지표,증감율(%),증감 율,숫자,
공통지표,증액,증액,문자,
공통지표,증액(건),증액 건수,숫자,
공통지표,증액(명),증액 명수,숫자,
공통지표,지역,지역,문자,
공통지표,청구(건),청구 건수,숫자,* 공통지표 상 '청구'
공통지표,청구(명),청구 명수,숫자,* 공통지표 상 '청구'
공통지표,청구(금액),청구 집계 금액,숫자,* 공통지표 상 '청구'
공통지표,초수,초수,숫자,
공통지표,총사용자(명),총 사용자 수,숫자,
공통지표,최종중단일,최종 중단 일,일,
공통지표,최종캠페인,최종 캠페인 명,문자,
공통지표,최초가입일(회원번호 생성일),최초 가입 일,일,
