NO,테이블명,컬럼순서,컬럼명,데이터타입,NULL허용,코드여부,코드그룹ID,컬럼설명(한글),비고
1,TD_MS_EMAIL_LQY_SNDNG,1,SNDNG_KEY,NUMBER,YES,N,,발신KEY,
2,TD_MS_EMAIL_LQY_SNDNG,2,MSG_ID,TEXT,YES,N,,메시지ID,
3,TD_MS_EMAIL_LQY_SNDNG,3,MKT_TRGET_CTNT,TEXT,YES,N,,마케팅대상내용,
4,TD_MS_EMAIL_LQY_SNDNG,4,SNDNG_CNT,NUMBER,YES,N,,발신건수,
5,TD_MS_EMAIL_LQY_SNDNG,5,SUCCES_CNT,NUMBER,YES,N,,성공건수,
6,TD_MS_EMAIL_LQY_SNDNG,6,FAILR_CNT,FLOAT,YES,N,,실패건수,
7,TD_MS_EMAIL_LQY_SNDNG,7,RECPTN_CNT,FLOAT,YES,N,,수신건수,
8,TD_MS_EMAIL_LQY_SNDNG,8,SNDNG_STRT_DT,TIMESTAMP_NTZ,YES,N,,발신시작일시,
9,TD_MS_EMAIL_LQY_SNDNG,9,SNDNG_END_DT,TIMESTAMP_NTZ,YES,N,,발신종료일시,
10,TD_MS_EMAIL_LQY_SNDNG,10,INFLOW_PATH_CTNT,TEXT,YES,N,,유입경로내용,
11,TD_MS_EMAIL_LQY_SNDNG,11,SNDNG_YEAR_CTNT,TEXT,YES,N,,발신년도내용,
12,TD_MS_EMAIL_LQY_SNDNG,12,SNDNG_MT_CTNT,TEXT,YES,N,,발신월내용,
13,TD_MS_EMAIL_LQY_SNDNG,13,SNDNG_TEAM_CTNT,TEXT,YES,N,,발신팀내용,
14,TD_MS_EMAIL_LQY_SNDNG,14,SUCCES_FAILR_CNT_CTNT,TEXT,YES,N,,성공실패건수내용,
15,TD_MS_EMAIL_LQY_SNDNG,15,URL_OTHBC_CNT_CTNT,TEXT,YES,N,,URL공개건수내용,
16,TD_MS_EMAIL_LQY_SNDNG,16,URL_OTHBC_RT_CTNT,TEXT,YES,N,,URL공개율내용,
17,TD_MS_EMAIL_LQY_SNDNG,17,SESION_VU_CTNT,TEXT,YES,N,,세션값내용,
18,TD_MS_EMAIL_LQY_SNDNG,18,SESION_PGE_CNT_CTNT,TEXT,YES,N,,세션페이지건수내용,
19,TD_MS_EMAIL_LQY_SNDNG,19,DVLP_ACMSLT_CNT_CTNT,TEXT,YES,N,,개발실적건수내용,
20,TD_MS_EMAIL_LQY_SNDNG,20,CLOS_YN,TEXT,YES,Y,,마감여부,중요도 낮음. 현재까지 5개의 row만 데이터가 있음
21,TD_MS_EMAIL_LQY_SNDNG,21,FRST_RGSTR_ID,TEXT,YES,N,,최초등록자ID,
22,TD_MS_EMAIL_LQY_SNDNG,22,FRST_REGIST_DT,TIMESTAMP_NTZ,YES,N,,최초등록일시,
