테이블명,GRAIN,테이블유형,컬럼명,타입,NULLABLE,키,FK_타깃,설명,주의_제약(DDL)
CRM_MEMBER,1회원(MEMBER_DK),회원,MEMBER_DK,VARCHAR(10),N,PK,,회원키(정기 MBER_NO / 일시 ONCE_MBER_NO 통합),⚠️Q6 UNION 잠정; 타입 VARCHAR(10) 실측확정(일시 비숫자·정기 leading-zero·충돌0·접두불요)
CRM_MEMBER,1회원(MEMBER_DK),회원,MEMBER_TYPE,VARCHAR(10),N,,,정기/일시 구분(파생),파생
CRM_MEMBER,1회원(MEMBER_DK),회원,MBER_DIV_CD,VARCHAR(3),Y,,CRM_CODE※비강제,회원구분코드,
CRM_MEMBER,1회원(MEMBER_DK),회원,MBER_DIV_NM,VARCHAR,Y,,,회원구분명(코드→라벨 파생),파생
CRM_MEMBER,1회원(MEMBER_DK),회원,CPR_DIV_CD,VARCHAR(3),Y,,CRM_CODE※비강제,개인/법인 구분,
CRM_MEMBER,1회원(MEMBER_DK),회원,SEX,VARCHAR(2),Y,,,성별(6=단체·7=기업·8=기타 보정),
CRM_MEMBER,1회원(MEMBER_DK),회원,MBER_STAT_CD,VARCHAR(3),Y,,CRM_CODE※비강제,회원상태코드(MM010),정기만 보유
CRM_MEMBER,1회원(MEMBER_DK),회원,MBER_STAT_NM,VARCHAR,Y,,,회원상태명(MM010 라벨 파생),파생
CRM_MEMBER,1회원(MEMBER_DK),회원,CMPGN_CD,VARCHAR(20),Y,,CRM_CAMPAIGN.CMPGN_CD※비강제,가입캠페인,
CRM_MEMBER,1회원(MEMBER_DK),회원,ACT_DEPT_CD,VARCHAR(10),Y,,CRM_ORG.DEPT_ID※비강제,활동부서(정기),
CRM_MEMBER,1회원(MEMBER_DK),회원,REGIST_DEPT_CD,VARCHAR(10),Y,,CRM_ORG.DEPT_ID※비강제,등록부서,
CRM_MEMBER,1회원(MEMBER_DK),회원,JOIN_PATH_CD,VARCHAR(3),Y,,CRM_CODE※비강제,가입경로(정기),
CRM_MEMBER,1회원(MEMBER_DK),회원,HMPG_ID,VARCHAR(30),Y,,,홈페이지ID,
CRM_MEMBER,1회원(MEMBER_DK),회원,ENTRPS_NM,VARCHAR(200),Y,,,단체/기업명(일시),
CRM_MEMBER,1회원(MEMBER_DK),회원,EMAIL_RECPTN,VARCHAR,Y,,,이메일수신(정기 코드/일시 Y·N 표준화),⚠️Q6 표준화 필요(정기 EMAIL_RECPTN_CD 콤마 멀티값 실측 → 집합 정규화)
CRM_MEMBER,1회원(MEMBER_DK),회원,PSTMTR_RECPTN,VARCHAR,Y,,,우편수신(정기 코드/일시 Y·N 표준화),⚠️Q6 표준화 필요(정기 코드 멀티값 가능성 → EMAIL_RECPTN 동일 규칙)
CRM_MEMBER,1회원(MEMBER_DK),회원,JOIN_DT,TIMESTAMP_NTZ,Y,,,가입일(FRST_REGIST_DT),
CRM_MEMBER,1회원(MEMBER_DK),회원,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천(CRM),공통감사
CRM_MEMBER,1회원(MEMBER_DK),회원,DW_SOURCE_TABLE,VARCHAR,N,,,행별 원천테이블(정기/일시),공통감사
CRM_MEMBER,1회원(MEMBER_DK),회원,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초적재,공통감사
CRM_MEMBER,1회원(MEMBER_DK),회원,DW_BATCH_ID,VARCHAR,Y,,,배치ID,공통감사
CRM_MEMBER_STATUS_HIST,회원상태전이 1건,회원,MBER_NO,VARCHAR(10),N,"PK,FK",CRM_MEMBER.MEMBER_DK※비강제,회원번호,
CRM_MEMBER_STATUS_HIST,회원상태전이 1건,회원,SER_NO,"NUMBER(10,0)",N,PK,,일련번호(전이순번),
CRM_MEMBER_STATUS_HIST,회원상태전이 1건,회원,BF_STAT_CD,VARCHAR(3),Y,,CRM_CODE※비강제,변경전 회원상태(MM010),
CRM_MEMBER_STATUS_HIST,회원상태전이 1건,회원,BF_STAT_NM,VARCHAR,Y,,,변경전 상태명(MM010 라벨),파생
CRM_MEMBER_STATUS_HIST,회원상태전이 1건,회원,CHN_STAT_CD,VARCHAR(3),Y,,CRM_CODE※비강제,변경후 회원상태(MM010),
CRM_MEMBER_STATUS_HIST,회원상태전이 1건,회원,CHN_STAT_NM,VARCHAR,Y,,,변경후 상태명(MM010 라벨),파생
CRM_MEMBER_STATUS_HIST,회원상태전이 1건,회원,EFFECTIVE_FROM,TIMESTAMP_NTZ,N,,,변경시점(FRST_REGIST_DT),SCD2 시작
CRM_MEMBER_STATUS_HIST,회원상태전이 1건,회원,EFFECTIVE_TO,TIMESTAMP_NTZ,Y,,,다음 전이까지(파생),SCD2 종료(파생)
