테이블명,GRAIN,테이블유형,컬럼명,타입,NULLABLE,키,FK_타깃,설명,주의_제약(DDL)
DIM_DATE,1일,DIMENSION,DATE_SK,"NUMBER(8,0)",N,PK,,YYYYMMDD,
DIM_DATE,1일,DIMENSION,FULL_DATE,DATE,Y,,,실제 일자,
DIM_DATE,1일,DIMENSION,YEAR,"NUMBER(4,0)",Y,,,년,
DIM_DATE,1일,DIMENSION,MONTH,"NUMBER(2,0)",Y,,,월,
DIM_DATE,1일,DIMENSION,MONTH_KEY,"NUMBER(6,0)",Y,,,YYYYMM (월팩트 conform),
DIM_DATE,1일,DIMENSION,DAY,"NUMBER(2,0)",Y,,,일,
DIM_DATE,1일,DIMENSION,DAY_OF_WEEK,VARCHAR,Y,,,요일,
DIM_DATE,1일,DIMENSION,WEEK_OF_YEAR,"NUMBER(2,0)",Y,,,주차,
DIM_DATE,1일,DIMENSION,QUARTER,"NUMBER(1,0)",Y,,,분기,
DIM_DATE,1일,DIMENSION,IS_HOLIDAY,BOOLEAN,Y,,,휴일여부,
DIM_DATE,1일,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별(CRM/GA4/ERP/AGENCY/GADS/ADMIN) (공통감사),
DIM_DATE,1일,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),
DIM_DATE,1일,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),
DIM_DATE,1일,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 (공통감사),
DIM_MEMBER,회원 상태버전,DIMENSION,MEMBER_SK,"NUMBER(38,0)",N,PK,,버전 대리키,
DIM_MEMBER,회원 상태버전,DIMENSION,MEMBER_DK,VARCHAR(10),N,DK,,불변 회원키(조인용),"SCD2 다중버전 — FK 대상 불가, 현재행 경유 조인; [실측06-30]VARCHAR(10): 일시 비숫자·정기 leading-zero→NUMBER 금지·충돌0 접두불요"
DIM_MEMBER,회원 상태버전,DIMENSION,GENDER,VARCHAR,Y,,,성별(#130),
DIM_MEMBER,회원 상태버전,DIMENSION,REGION,VARCHAR,Y,,,지역(#131),
DIM_MEMBER,회원 상태버전,DIMENSION,AGE_BAND,VARCHAR,Y,,,연령대(overview). 원천 확인됨: SND_MEMBER_LIST.AGE·MBER_BIRTHDAY. 연령은 변하므로 생년월일 보존 권장,
DIM_MEMBER,회원 상태버전,DIMENSION,MEMBER_STATUS,VARCHAR,Y,,,회원상태(#132),
DIM_MEMBER,회원 상태버전,DIMENSION,MEMBER_TYPE,VARCHAR,Y,,,회원구분(05 2-1). 원천 확인됨: MBER_DIV_CD(MM018 개인/기업/단체),
DIM_MEMBER,회원 상태버전,DIMENSION,NEW_EXISTING_FLAG,VARCHAR,Y,,,신규기존구분(#113),
DIM_MEMBER,회원 상태버전,DIMENSION,FIRST_JOIN_DATE,DATE,Y,,,최초가입일=회원번호 생성일(#28),
DIM_MEMBER,회원 상태버전,DIMENSION,FIRST_CAMPAIGN,VARCHAR,Y,,,최초캠페인(#29),
DIM_MEMBER,회원 상태버전,DIMENSION,ENROLL_PATH,VARCHAR,Y,,,"가입경로(overview 2-1). 원천 확인됨: TM_MM_FDRM_MBER_INFO.JOIN_PATH_CD(MM014), 홍보방법과 별개",
DIM_MEMBER,회원 상태버전,DIMENSION,FIRST_SPONSORSHIP,VARCHAR,Y,,,최초후원사업(회원 스냅샷). 원천: TM_MM_FDRM_MBER_SPNSR_BSNS + 마스터 TM_CM_SPNSR_BSNS_INFO,
DIM_MEMBER,회원 상태버전,DIMENSION,LAST_STOP_DATE,DATE,Y,,,최종중단일(#30),
DIM_MEMBER,회원 상태버전,DIMENSION,LAST_CAMPAIGN,VARCHAR,Y,,,최종캠페인(#31),
DIM_MEMBER,회원 상태버전,DIMENSION,CURRENT_SPONSORSHIP,VARCHAR,Y,,,현재후원사업(회원 스냅샷). 원천: TM_MM_FDRM_MBER_SPNSR_BSNS,
DIM_MEMBER,회원 상태버전,DIMENSION,EFFECTIVE_FROM,DATE,Y,,,SCD2 유효시작,
DIM_MEMBER,회원 상태버전,DIMENSION,EFFECTIVE_TO,DATE,Y,,,SCD2 유효종료,
DIM_MEMBER,회원 상태버전,DIMENSION,IS_CURRENT,BOOLEAN,Y,,,현재행 여부,
DIM_MEMBER,회원 상태버전,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별(CRM/GA4/ERP/AGENCY/GADS/ADMIN) (공통감사),
DIM_MEMBER,회원 상태버전,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),
DIM_MEMBER,회원 상태버전,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),
DIM_MEMBER,회원 상태버전,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 (공통감사),
DIM_MEMBER_IDENTITY,MEMBER_DK × ga_id,DIMENSION,IDENTITY_SK,"NUMBER(38,0)",N,PK,,"회원 식별 대리키 (ETL 일련번호, PK)",
DIM_MEMBER_IDENTITY,MEMBER_DK × ga_id,DIMENSION,MEMBER_DK,VARCHAR(10),N,FK→DIM_MEMBER,DIM_MEMBER(MEMBER_DK) ※비강제(SCD2/비유일),불변 회원키,SCD2 다중버전 — 현재행(IS_CURRENT) 경유 조인(중복 주의); [실측06-30]VARCHAR(10)
DIM_MEMBER_IDENTITY,MEMBER_DK × ga_id,DIMENSION,MEMBER_NO,VARCHAR,N,BK,,회원번호(#110),
DIM_MEMBER_IDENTITY,MEMBER_DK × ga_id,DIMENSION,MEMNUM,VARCHAR,Y,,,memnum(#111),
DIM_MEMBER_IDENTITY,MEMBER_DK × ga_id,DIMENSION,GA_MEMBER_ID,VARCHAR,Y,,,member id(#112),
DIM_MEMBER_IDENTITY,MEMBER_DK × ga_id,DIMENSION,HOMEPAGE_ID,VARCHAR,Y,,,홈페이지/앱 ID. 원천: TM_MM_FDRM_MBER_INFO.HMPG_ID,
DIM_MEMBER_IDENTITY,MEMBER_DK × ga_id,DIMENSION,CHILD_CODE,VARCHAR,Y,,,"결연아동코드(#122, URL 파싱)",
DIM_MEMBER_IDENTITY,MEMBER_DK × ga_id,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별(CRM/GA4/ERP/AGENCY/GADS/ADMIN) (공통감사),
DIM_MEMBER_IDENTITY,MEMBER_DK × ga_id,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),
DIM_MEMBER_IDENTITY,MEMBER_DK × ga_id,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),
DIM_MEMBER_IDENTITY,MEMBER_DK × ga_id,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 (공통감사),
DIM_CAMPAIGN,1캠페인,DIMENSION,CAMPAIGN_SK,"NUMBER(38,0)",N,PK,,"캠페인 대리키 (ETL 일련번호, PK)",
DIM_CAMPAIGN,1캠페인,DIMENSION,CAMPAIGN_BK,VARCHAR,N,BK,,"캠페인 업무키(BK, 자연키)",
DIM_CAMPAIGN,1캠페인,DIMENSION,BRAND,VARCHAR,Y,,,공통브랜드(#117),
DIM_CAMPAIGN,1캠페인,DIMENSION,PARENT_CAMPAIGN,VARCHAR,Y,,,공통상위캠페인(#119),
DIM_CAMPAIGN,1캠페인,DIMENSION,CAMPAIGN_NAME,VARCHAR,Y,,,캠페인명(#18·120·147),
DIM_CAMPAIGN,1캠페인,DIMENSION,PROMO_METHOD,VARCHAR,Y,,,홍보방법(#118),
DIM_CAMPAIGN,1캠페인,DIMENSION,CAMPAIGN_TYPE,VARCHAR,Y,,,캠페인 유형(#17),
DIM_CAMPAIGN,1캠페인,DIMENSION,DOMESTIC_OVERSEAS,VARCHAR,Y,,,국내/해외(#15),
DIM_CAMPAIGN,1캠페인,DIMENSION,BIZ_CASE_TYPE,VARCHAR,Y,,,사업/사례(#16),
DIM_CAMPAIGN,1캠페인,DIMENSION,CAMPAIGN_OPEN_DATE,DATE,Y,,,오픈일자(#19),
DIM_CAMPAIGN,1캠페인,DIMENSION,ORG_SK,"NUMBER(38,0)",Y,FK→DIM_ORG,DIM_ORG(ORG_SK),캠페인 귀속조직,
DIM_CAMPAIGN,1캠페인,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별(CRM/GA4/ERP/AGENCY/GADS/ADMIN) (공통감사),
DIM_CAMPAIGN,1캠페인,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),
DIM_CAMPAIGN,1캠페인,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),
DIM_CAMPAIGN,1캠페인,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 (공통감사),
DIM_SPONSORSHIP,1후원사업,DIMENSION,SPONSORSHIP_SK,"NUMBER(38,0)",N,PK,,"후원사업 대리키 (ETL 일련번호, PK)",
DIM_SPONSORSHIP,1후원사업,DIMENSION,SPONSORSHIP_BK,VARCHAR,N,BK,,"후원사업 업무키(BK, 자연키)",
DIM_SPONSORSHIP,1후원사업,DIMENSION,SPONSORSHIP_NAME,VARCHAR,Y,,,후원사업 전체(#123),
DIM_SPONSORSHIP,1후원사업,DIMENSION,SPONSORSHIP_ABBR,VARCHAR,Y,,,약칭(#124),
DIM_SPONSORSHIP,1후원사업,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별(CRM/GA4/ERP/AGENCY/GADS/ADMIN) (공통감사),
DIM_SPONSORSHIP,1후원사업,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),
DIM_SPONSORSHIP,1후원사업,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),
DIM_SPONSORSHIP,1후원사업,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 (공통감사),
DIM_ORG,1조직노드,DIMENSION,ORG_SK,"NUMBER(38,0)",N,PK,,"조직 대리키 (ETL 일련번호, PK)",
DIM_ORG,1조직노드,DIMENSION,ORG_DK,"NUMBER(38,0)",N,DK,,불변 조직키,"SCD2 다중버전 — FK 대상 불가, 현재행 경유 조인"
DIM_ORG,1조직노드,DIMENSION,CORP,VARCHAR,Y,,,법인(#114),
DIM_ORG,1조직노드,DIMENSION,DIVISION,VARCHAR,Y,,,본부/지부(#115),
DIM_ORG,1조직노드,DIMENSION,DEPARTMENT,VARCHAR,Y,,,부서(#116),
DIM_ORG,1조직노드,DIMENSION,TEAM,VARCHAR,Y,,,팀,파생[C-7]: 실적팀=ACMSLT_UPPER_DEPT_ID 재귀(루트 'ZV000000')·LVL5 (현업쿼리 review/05; STATS_DEPT_LVL 미사용)
DIM_ORG,1조직노드,DIMENSION,EFFECTIVE_FROM,DATE,Y,,,SCD2,
DIM_ORG,1조직노드,DIMENSION,EFFECTIVE_TO,DATE,Y,,,SCD2,
DIM_ORG,1조직노드,DIMENSION,IS_CURRENT,BOOLEAN,Y,,,현재행 여부,
DIM_ORG,1조직노드,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별(CRM/GA4/ERP/AGENCY/GADS/ADMIN) (공통감사),
DIM_ORG,1조직노드,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),
DIM_ORG,1조직노드,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),
DIM_ORG,1조직노드,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 (공통감사),
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,AD_CREATIVE_SK,"NUMBER(38,0)",N,PK,,"광고소재 대리키 (ETL 일련번호, PK)",
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,AD_CREATIVE_BK,VARCHAR,N,BK,,"광고소재 업무키(BK, 자연키)",
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,MEDIA_NAME,VARCHAR,Y,,,매체명/공동브랜드(#11),
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,PLATFORM,VARCHAR,Y,,,플랫폼(#12),
